Time,lat,long,depth,mag
2005-02-02T14:58:08.630Z,6.428,90.377,17.9,5.1
2005-02-03T04:27:52.800Z,-20.223,67.452,10,5.2
2005-02-03T04:51:17.270Z,5.623,93.249,30,5.5
2005-02-03T12:18:33.180Z,-2.427,68.503,10,5
2005-02-03T15:36:08.550Z,50.275,-129.833,10,5
2005-02-04T06:13:08.850Z,-4.524,144.354,85.5,5.1
2005-02-04T09:44:53.180Z,7.881,94.319,21.4,5.4
2005-02-04T16:06:28.750Z,17.519,145.447,512.1,5.3
2005-02-04T16:45:39.710Z,-13.507,174.352,26.2,5.2
2005-02-04T18:34:13.670Z,33.159,142.051,20.8,5
2005-02-05T03:34:25.730Z,16.011,145.867,142.7,6.6
2005-02-05T04:03:13.840Z,2.255,94.992,30,6
2005-02-05T04:09:53.640Z,2.325,95.065,30,5.1
2005-02-05T04:18:54.970Z,10.011,92.982,30,5
2005-02-05T08:00:27.540Z,8.061,94.051,17.2,5.4
2005-02-05T12:23:18.940Z,5.293,123.337,525,7.1
2005-02-05T13:54:44.190Z,5.276,123.37,570.1,5.1
2005-02-05T17:35:46.880Z,8.106,94.185,30,5.9
2005-02-05T19:41:37.820Z,-22.226,-175.945,141.9,5.3
2005-02-05T19:49:03.090Z,-5.545,154.294,119.1,5.2
2005-02-05T23:38:06.500Z,0.065,123.584,142,5.1
2005-02-06T01:25:43.220Z,-52.978,140.391,10,5.3
2005-02-06T01:28:48.080Z,-52.824,140.228,10,5.6
2005-02-06T04:24:18.630Z,13.855,93.58,35.6,5.4
2005-02-06T06:07:55.130Z,8.07,94.062,18.4,5.4
2005-02-06T09:27:59.420Z,12.239,124.92,46.1,5
2005-02-07T06:23:32.000Z,51.24,-131.15,10,5
2005-02-07T14:23:51.420Z,-59.888,-27.08,118.3,5.1
2005-02-07T18:41:39.510Z,19.364,145.601,107.5,5
2005-02-07T20:02:17.690Z,-4.525,153.187,36.5,6.1
2005-02-07T20:46:26.440Z,36.225,10.874,10,5.1
2005-02-08T02:18:23.060Z,15.484,-61.306,115.4,5
2005-02-08T14:48:21.970Z,-14.252,167.259,206.3,6.7
2005-02-09T01:02:26.190Z,2.278,95.156,28.7,5
2005-02-09T02:45:57.780Z,6.801,92.618,25.1,5.1
2005-02-09T06:22:26.670Z,-23.641,-111.916,10,5
2005-02-09T13:27:25.340Z,4.797,95.117,44.5,6
2005-02-09T18:46:09.970Z,26.088,143.997,24,6.3
2005-02-09T20:03:06.010Z,-55.395,-26.703,10,5.3
2005-02-09T20:59:52.190Z,13.686,120.791,102.4,5.5
2005-02-10T01:34:30.990Z,8.105,94.286,30,5
2005-02-10T02:32:14.620Z,5.268,-82.627,10,5.7
2005-02-10T04:42:00.000Z,-35.769,-103.922,10,5
2005-02-10T07:10:35.610Z,-15.111,-173.745,10,5.6
2005-02-10T15:58:17.470Z,9.403,126.46,69.4,5
2005-02-10T16:53:19.990Z,-23.097,169.219,9,6.3
