window,key,window_size,fb_1,fb_2,fb_3,fb_4,fb_5,fb_6,fb_7,fb_8,fb_9,fb_10,fb_11
0,G137,15D,2.8017688414829887,5.709626334914174,4.654533144973566,6.501648621280181,5.761531628345629,3.554252925393198,3.9726629042250705,3.5897189369687705,8.816314544024458,15.158936000981345,12.224200205416615
0,G119,15D,7.045022853777266,8.752892848850685,4.986840354464538,14.670147933816391,5.860851413912682,5.1848625430145825,6.232439597264023,9.413956664205315,11.408768835689386,12.165585661565917,11.397425677225684
0,G101,15D,4.197436253346736,3.6449148058001235,4.101299265547682,7.164777000222503,7.116974279438031,6.095529425264396,5.605954745268261,4.973496603877681,5.144483913783483,7.972241131119308,8.554053689055536
0,G83,15D,11.990248251611382,4.363527763188452,8.649505687550318,6.874962078214998,4.7066098088806925,5.624964393347315,4.67009756355721,4.423410035924256,4.307780296559048,5.376803167204578,7.1017259218377715
0,G65,15D,8.878612684760547,5.249307868927713,8.016376320935374,6.479347660683238,5.212086051155062,5.760636622512708,5.691894179528259,6.088157956912687,6.180897163308439,6.702926915037981,6.473767810886581
0,G64,15D,12.861348803149761,5.092699035491702,8.209915529593184,9.152931804725657,7.625681148581188,7.161928278512448,7.143315608788175,11.905397494262685,16.147817095813366,11.414895329026685,10.070830474285946
0,G46,15D,9.237090281509056,9.73442094626524,4.863862225348804,6.166684631999442,5.651902872238272,5.030796622559054,7.130407907860796,10.87728314226473,15.5794841104449,18.183934658838577,19.81895625242605
0,G28,15D,3.435339354704635,3.704981888574468,5.229857378802688,5.653560678087011,5.893037296494903,4.447934797497328,4.53147971550536,5.177373366149769,6.775082017564548,11.022286121925971,23.131456345874373
0,G135,15D,3.7586287841678954,5.086827095787245,6.314369071557515,7.718030375062136,6.013436850734906,5.479988006680857,5.572329163307819,7.550699482821509,11.899310981570135,15.120914376430159,11.265128301702326
0,G117,15D,5.650611858249927,9.148256588751364,3.2722444842306277,6.481755276247647,4.665642573143746,5.4526355869232495,5.856346334025449,7.086040093573202,7.9162966418330445,9.420182292870471,6.084840012451197
0,G98,15D,5.132051499419773,4.579721578711891,4.421513643889975,4.449984972544483,7.293775477907622,7.993326642710182,8.117414214101135,7.709587831528121,6.011595787666584,6.276574575741551,8.608950301611642
0,G80,15D,10.06590037364401,8.819318701799494,9.092852284514684,9.515508392710952,6.8561860176203995,10.22629564518565,11.913020378918807,13.73063358341092,11.272617578706269,15.953684939585651,17.969636534633818
0,G62,15D,5.9339545697119735,9.120934342119655,7.943216597909976,7.617993658115943,5.874196104167669,7.504836366404504,10.515473646444468,20.787348514724307,12.799616012823803,13.172969995089751,12.33461181814524
0,G44,15D,4.725340328400265,6.569175070598091,5.341347913009598,4.837886154840033,6.0172414099245914,8.678702304287542,10.386875870512052,11.9151337437239,14.587957254872155,16.439120886181907,14.138885575845928
0,G26,15D,6.4154115505026565,6.847347262637529,6.671565349626897,6.591555048273601,4.852398849484845,6.459797422162712,5.578018387195226,6.196553644157837,7.383940873941275,8.05982765001564,10.324994698958596
