Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,avg_train_all,err_train_all,avg_val_all,err_val_all,mode,tw,label_name
tw48-30dBG_In-E,61.5,71.0,1.6140246650541656,2.115219085458216,0.2386476994690077,1.240745077559322,0.1168474789344354,-0.3917562883050954,1.834921864490056,0.6768892393731,69.11973594966955,1.888195867258503,61.89948920637217,3.3574543881419725,all,48,SW20x20_WOG_TW48
sw22_tw12-30dBG_A,22.0,30.5,1.2308010683458437,1.1350096472896145,0.5772519460600698,0.5648078854562412,0.1338946828528702,-0.1630340098904948,0.9901949127678308,1.227014447197154,26.64401836156056,1.8750224218762337,30.79477640858715,3.354891768101238,all,12,SW22x22_TW12
sw22_tw12-30dBG_B,22.0,30.5,1.4605091938426469,1.08074081345682,0.5102593159856615,0.1975961658934647,-0.2570383574725385,-0.0449745384432607,0.6924678200955434,1.5917250548746271,24.145229705638677,1.8148144184383843,32.00958294467066,3.25257566199383,all,12,SW22x22_TW12
sw22_tw12-30dBG_C,22.0,30.5,1.2255705269561548,0.9851547221974704,0.4376469582455443,0.6616629929306307,0.3594780238484525,-0.0857635444457851,0.688544358290251,0.7973482769894856,27.084112913135183,1.8980224703867044,29.277245798063568,3.306243155262268,all,12,SW22x22_TW12
sw22_tw12-30dBG_D,22.0,30.5,1.210281988024625,1.217184231029227,0.5918603962099386,0.7223265783128262,0.2411806585804831,0.24,1.2030838263146502,1.1850480685434557,27.820644362140417,1.903102265694021,31.460602638290265,3.229494610511757,all,12,SW22x22_TW12
sw22_tw12-30dBG_E,22.0,30.5,1.4286259477568937,2.452304993679536,0.6250650748942163,1.9792976684247665,0.9030682037896058,0.7165361113702573,2.561215478880285,1.1921032083790286,37.83916234893714,2.025815167515385,31.030373871411605,2.945705780930378,all,12,SW22x22_TW12
sw22_tw12-30dBG_In-A,22.0,30.5,0.926099961755856,0.9740434173461248,0.427463173634983,0.1077157087449593,-0.0733771349151815,0.0160356745147454,0.3420101511578378,0.5796732553981874,23.40075264448579,1.7509188599969223,27.857488508223803,2.96994510548178,all,12,SW22x22_TW12
sw22_tw12-30dBG_In-B,22.0,30.5,1.140409059235581,1.0046810452024717,0.0955992221330959,0.6599065030443179,0.2893121956761968,-0.513218850746318,0.8538138899414829,0.9953961498119706,27.161862323745623,1.8455589572069728,25.433599312616835,2.7887246713688643,all,12,SW22x22_TW12
sw22_tw12-30dBG_In-C,22.0,30.5,1.0669984983007808,1.3117276315743267,0.3303293186721644,0.8317183728807437,0.2825191288604812,-0.2715726664196382,0.9887448286215524,1.064324758392806,28.59711076351709,1.8586159218678329,26.784811037790245,2.972458941798093,all,12,SW22x22_TW12
sw22_tw12-30dBG_In-D,22.0,30.5,1.1986976102623546,1.7275371039344605,0.3692116408530955,1.354476060847172,0.8249317546212693,0.0928516263370899,1.914652660571,0.8997196503987274,32.86915026544524,1.928776263735657,27.444711142490743,3.152647049020423,all,12,SW22x22_TW12
sw22_tw12-30dBG_In-E,22.0,30.5,1.3685742374596055,1.5000308897943364,0.4668061676386451,1.19682479477252,0.4658588883678278,-0.2380462360309793,1.3907212536201012,1.4328697657237504,31.449026369785628,1.918461102093848,28.79736701887437,2.926394395786774,all,12,SW22x22_TW12
tw24-30dBG_A,36.0,45.0,1.5118387859638058,2.213674819068012,0.9740472383824256,1.3909522897310385,1.437666242703086,0.5362583809068203,2.062376035597777,1.5722259088127748,47.377497940266345,2.06846712323287,49.7068776633994,3.689416264429452,all,24,SW22x22_TW24
tw24-30dBG_B,36.0,45.0,1.6103645762069123,1.4727256180106296,1.0716460319672256,1.17052991276733,0.8232614785175161,0.4929157602632563,1.6602556660079433,1.77456596720261,45.58451758464242,2.1227567349540792,49.86343966204648,3.468955492352721,all,24,SW22x22_TW24
tw24-30dBG_C,36.0,45.0,1.5527175810442435,1.8671757578291932,0.9009737195842552,1.2329350928797227,1.1129237397814449,0.752480779825815,1.799989822955674,1.4251303818093417,46.312178056085976,2.093787298484347,48.15879077610712,3.438282551711426,all,24,SW22x22_TW24
tw24-30dBG_D,36.0,45.0,1.6371241805642311,1.9201959285859147,0.7491440761317085,1.6684842251820782,1.23459370635136,0.0725261141447286,2.3720826449836925,1.57176307236396,49.5980515018266,2.1297520201373987,46.70625831495396,3.2727789285187323,all,24,SW22x22_TW24
tw24-30dBG_E,36.0,45.0,1.7271163245979928,2.921339549892657,0.7189699031338931,2.4379211644357337,2.106293147477618,0.3555587086149967,3.27983913206454,1.435972414131412,55.341880375262,2.0745913281972577,45.007724111077245,3.1703002576162835,all,24,SW22x22_TW24
tw24-30dBG_In-A,36.0,45.0,1.4535155583463766,1.3203638085318454,0.5879531679084453,0.805682343478215,0.6642246366005842,0.0894511030439047,1.225575600405914,1.4070172239431178,42.64247572260437,2.0385749892551392,44.79743346930847,3.302995905988376,all,24,SW22x22_TW24
tw24-30dBG_In-B,36.0,45.0,1.3685632974343018,1.8871772934872757,0.7709514946163867,1.321339608675256,0.6896183053021064,-0.1546690562848217,1.7809041393946996,1.5524327401652638,46.62878944515551,2.040538557237324,46.72570975250304,3.4098724191173475,all,24,SW22x22_TW24
tw24-30dBG_In-C,36.0,45.0,1.4502932133375026,2.0433087898211872,0.5504322595193076,1.6189201243418134,0.8135364288326726,0.0652072481659554,2.240538596638618,1.1974077828090752,48.971125033076525,2.056467748659112,43.70345916518704,3.290296529701829,all,24,SW22x22_TW24
