Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,avg_train_all,err_train_all,avg_val_all,err_val_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,mode,tw,label_name
tw48-30dBG_In-C,55.5,65.0015,1.187181764,1.791427152,0.149215478,0.583980627,59.18452121,1.994598089,57.97965515,3.36731998,-0.123397544,-0.438663088,1.076972776,0.648895762,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-D,55.5,65.0015,1.319916758,1.903716817,-0.068154394,0.5675656,58.91670544,1.985307483,55.22805165,3.066751702,-0.340117991,-0.867150102,1.555033337,0.97630868,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-E,55.5,65.0015,1.454725811,1.966673757,-0.349353356,0.754091584,60.13583225,1.981548713,52.51033967,3.200064664,-0.693346941,-0.955909253,1.460198527,0.585988994,all,48,SW10x10_WOG_TW48
tw48-30dBG_A,52,61.5015,1.495168454,2.522591056,0.615902354,1.900243336,65.49656052,1.990868296,58.72769622,3.366756719,1.528536715,0.320789363,2.326162461,1.325670316,all,48,SW20x20_WG_TW48
tw48-30dBG_B,52,61.5015,1.657761734,1.900428069,0.947328201,1.470945347,63.04119149,2.050829255,61.91407839,3.502707015,1.274561427,0.263436397,1.716203407,1.549033957,all,48,SW20x20_WG_TW48
tw48-30dBG_C,52,61.5015,2.22663166,2.751100738,1.168231038,2.226476047,67.64478134,1.977790822,64.39549644,3.195374795,1.592979613,0.390847296,2.794052002,2.028508598,all,48,SW20x20_WG_TW48
tw48-30dBG_D,52,61.5015,1.982709629,3.55739961,1.107023004,2.801222426,70.30617749,1.918116563,63.66010449,3.460927687,1.672849781,0.353468869,3.284118498,1.64217204,all,48,SW20x20_WG_TW48
tw48-30dBG_E,52,61.5015,1.375737081,6.588751123,0.685372826,5.740012117,81.85491493,1.612853564,58.62023707,3.17339374,3.475925215,0.267430122,7.178316045,1.482355233,all,48,SW20x20_WG_TW48
tw48-30dBG_In-A,52,61.5015,1.656516273,2.055642217,0.679271473,1.425334616,62.30059786,1.988080587,59.22087439,3.412258572,0.468618311,-0.128905698,2.053817459,1.213991701,all,48,SW20x20_WG_TW48
tw48-30dBG_In-B,52,61.5015,1.574068341,1.790109048,0.759881815,1.482531767,63.29930712,2.001390477,60.22819654,3.487493476,0.705595701,-0.070111963,2.072714315,1.704961128,all,48,SW20x20_WG_TW48
tw48-30dBG_In-C,52,61.5015,1.438063189,2.712692026,0.575247126,2.232710977,67.86340004,1.915908632,57.95714498,3.324733245,1.485635398,-0.127698984,2.969437237,1.298535348,all,48,SW20x20_WG_TW48
tw48-30dBG_In-D,52,61.5015,1.306471242,3.389924058,0.508142686,2.540033126,68.39862437,1.885710898,57.17861725,3.196710478,0.924172357,0.433777235,3.10098193,0.994415878,all,48,SW20x20_WG_TW48
tw48-30dBG_In-E,52,61.5015,1.886169919,3.120635957,0.925752318,2.571695114,69.59626642,1.882861528,61.13326881,3.158790607,1.675210465,0.462855125,3.337768022,1.362010572,all,48,SW20x20_WG_TW48
tw48-30dBG_A,61.5,71,1.666906109,1.036545417,0.472470852,0.51543094,65.09366237,2.038500978,65.17339679,3.233810891,0.188102825,-0.406191113,0.911240007,1.415468735,all,48,SW20x20_WOG_TW48
tw48-30dBG_B,61.5,71,1.774079273,1.525018669,0.237871576,0.939360351,67.85496215,1.986872996,62.28221811,3.231231891,0.08304988,0.101081486,1.645764241,1.14829431,all,48,SW20x20_WOG_TW48
tw48-30dBG_C,61.5,71,1.765367175,1.954188358,0.550229892,1.386786364,70.71769507,1.92468207,64.68529978,3.600405817,0.601384925,-0.460782353,2.493959016,1.278927777,all,48,SW20x20_WOG_TW48
tw48-30dBG_D,61.5,71,1.437483526,2.288740282,0.442327378,1.503956461,70.92948775,1.92819754,64.8393584,3.344810449,0.776849396,0.134795516,1.787060483,1.194867214,all,48,SW20x20_WOG_TW48
tw48-30dBG_E,61.5,71,1.328952902,4.25894849,0.162327944,2.693796289,75.3637752,1.814240525,62.15541974,3.148752474,1.49721572,-0.172159591,2.612616086,0.560098094,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-A,61.5,71,1.237891241,0.973108083,0.221798927,0.228491048,62.86233336,2.004655853,62.3872778,3.496516343,-0.476583057,-0.331822851,0.523225364,0.921453046,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-B,61.5,71,1.571616646,1.442379409,0.258455163,0.533320029,64.817269,1.95937981,63.22791792,3.42854625,-0.017069813,-0.718740661,0.898677436,0.908579683,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-C,61.5,71,1.471407144,1.913923626,-0.006673149,1.191102123,69.13807749,1.901680902,60.84322825,3.20733245,0.227466112,-0.364537212,1.786505263,0.636464371,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-D,61.5,71,1.353088747,2.374175734,0.425997896,1.450511164,70.10579715,1.868901673,64.15834569,3.085798216,0.366360637,-0.071576695,1.941121528,0.617718757,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-E,61.5,71,1.614024665,2.115219085,0.238647699,1.240745078,69.11973595,1.888195867,61.89948921,3.357454388,0.116847479,-0.391756288,1.834921864,0.676889239,all,48,SW20x20_WOG_TW48
tw48-30dBG_A,55,64.5015,1.603146951,2.058187724,0.580345188,1.483903337,0.969415072,0.027545867,1.883093393,1.586654888,65.56585461,2.005672791,60.65540553,3.382303778,all,48,SW22x22_WOG_TW48
tw48-30dBG_B,55,64.5015,1.588039241,1.620921607,0.931966793,1.20506415,0.995292793,0.274083753,1.591041606,1.637738851,64.00126652,2.045375771,64.96279646,3.285514928,all,48,SW22x22_WOG_TW48
tw48-30dBG_C,55,64.5015,1.918813067,2.231382837,1.03693554,1.709221709,1.219155218,0.689688919,2.029833706,1.936428462,67.03941254,1.999173581,65.37848346,3.337975277,all,48,SW22x22_WOG_TW48
tw48-30dBG_D,55,64.5015,1.568515061,2.800605059,0.770513068,1.951723807,1.070447018,0.354388116,2.719786407,1.488363189,67.70781567,1.954479997,62.59703369,3.344382636,all,48,SW22x22_WOG_TW48
tw48-30dBG_E,55,64.5015,2.038967329,4.002085063,1.26875151,3.592936352,2.609089538,0.6702578,4.470986173,2.207402886,77.59445519,1.768751751,66.37523106,2.951503339,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-A,55,64.5015,1.365234566,2.016543803,0.781258072,1.397934773,0.50187317,0.152689778,2.356957192,1.231227359,64.84685053,1.960984398,63.7885908,3.564286508,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-B,55,64.5015,1.998323152,2.190249279,0.940717583,1.594145199,0.761775146,-0.366119298,2.206963643,1.547779801,66.14274974,1.942079237,63.56509963,3.291780463,all,48,SW22x22_WOG_TW48
